,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
0,Lize Helesta,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/03/23,+ Add,Every 2.51 Day(s),609k,104.6m
1,Naraka,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/12/29,+ Add,Every 1.91 Day(s),285k,25.3m
2,Takao Shinji,VTuber,Independent,[],Male,['Japanese'],['L2D'],+ Add,+ Add,Every 1.83 Day(s),151k,41.9m
3,Shellin Burgundy,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2019/09/21,+ Add,Every 2.83 Day(s),254k,29.9m
4,Souya Ichika,VTuber,AniMare,[],Female,['Japanese'],"['3D', 'L2D']",2018/06/09,+ Add,Every 1.72 Day(s),90.1k,9.4m
5,Shimamura Charlotte,VTuber,HoneyStrap,[],Female,['Japanese'],"['3D', 'L2D']",2018/07/14,+ Add,Every 1.16 Day(s),75.9k,8m
6,Cry,VStreamer,Independent,['Art'],Female,['English'],[],+ Add,Active,Every 9.44 Day(s),475.7k,41.5m
7,Lumi Celestia,VTuber,MAHAPANCA,[],Female,['Indonesian'],['L2D'],2020/08/01,+ Add,Every 4.79 Day(s),177k,5.9m
8,Wolfychu,VStreamer,Independent,['Gaming'],Female,['English'],['L2D'],11/08/2020,Active,Every 1.96 Day(s),501.1k,5.3m
9,Sakura Ritsuki,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/08/31,+ Add,Every 1.16 Day(s),205k,26m
10,LITA,VTuber,Wright Flyer Live Entertainment,[],Female,['Japanese'],['3D'],2018/06/07,+ Add,Every 13 Day(s),109k,16.8m
11,ビートまりお / COOL&CREATE,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.15 Day(s),150k,20.2m
12,Projekt Melody,VTuber,VShojo,"['Gaming', 'Mature']",Female,['English'],['3D'],2020-02-07,+ Add,Every 1.82 Day(s),1.1m,25.7m
13,Hanabasami Kyo,VTuber,Re:AcT,[],Female,['Japanese'],"['3D', 'L2D']",2018/09/14,+ Add,Every 11.37 Day(s),299k,60m
14,macoto,VTuber,Independent,"['ASMR', 'Chatting', 'Cooking', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'JPEG', 'L2D']",12/08/2018,Active,Every 8.92 Day(s),151.9k,1.8m
15,遠北千南 / Achikita Chinami 【にじさんじ】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,—,77k,3.8m
